PP518589.1	South Africa	Africa	COMPLETE	29822	A	2020-05-09
OQ521319.1	Cameroon	Africa	PARTIAL	29716	A	2021-01-21
OQ050890.1	Nigeria	Africa	PARTIAL	29782	A	2021-08-02
OQ050792.1	Nigeria	Africa	PARTIAL	29834	A	2021-01-22
OQ050625.1	Nigeria	Africa	PARTIAL	29709	A	2020-12-15
OQ050624.1	Nigeria	Africa	PARTIAL	29739	A	2020-03-29
OQ050594.1	Nigeria	Africa	PARTIAL	29850	A	2020-12-11
OQ050570.1	Nigeria	Africa	PARTIAL	29838	A	2020-03-29
OQ050567.1	Nigeria	Africa	COMPLETE	29859	A	2020-05-08
OQ050560.1	Nigeria	Africa	COMPLETE	29823	A	2020-05-10
OQ050524.1	Nigeria	Africa	PARTIAL	29779	A	2020-05-02
OQ050514.1	Nigeria	Africa	PARTIAL	29804	A	2020-05-19
OQ050513.1	Nigeria	Africa	PARTIAL	29841	A	2020-05-18
OQ050510.1	Nigeria	Africa	COMPLETE	29875	A	2020-05-08
OQ050503.1	Nigeria	Africa	PARTIAL	29826	A	2020-05-01
OQ050500.1	Nigeria	Africa	PARTIAL	29817	A	2020-04-26
OQ050499.1	Nigeria	Africa	COMPLETE	29824	A	2020-04-26
OQ050497.1	Nigeria	Africa	PARTIAL	29808	A	2020-04-25
OQ050495.1	Nigeria	Africa	COMPLETE	29841	A	2020-04-19
OQ050456.1	Nigeria	Africa	COMPLETE	29845	A	2020-04-23
OQ050418.1	Nigeria	Africa	PARTIAL	29865	A	2020-05-02
OQ050414.1	Nigeria	Africa	PARTIAL	29746	A	2020-03-29
OQ050409.1	Nigeria	Africa	COMPLETE	29855	A	2020-03-29
OQ050401.1	Nigeria	Africa	PARTIAL	29758	A	2020-03-29
OQ050384.1	Nigeria	Africa	PARTIAL	29799	A	2020-03-25
OQ050383.1	Nigeria	Africa	COMPLETE	29831	A	2020-03-25
OQ050376.1	Nigeria	Africa	COMPLETE	29768	A	2020-03-29
OQ050325.1	Nigeria	Africa	COMPLETE	29814	A	2020-03-29
OQ050299.1	Nigeria	Africa	COMPLETE	29846	A	2020-03-29
OQ050272.1	Nigeria	Africa	PARTIAL	29883	A	2021-01-07
OP581780.1	Gambia	Africa	PARTIAL	29773	A	2021-03-07
OP581764.1	Gambia	Africa	PARTIAL	29323	A	2021-02-13
OP581757.1	Gambia	Africa	PARTIAL	29782	A	2021-03-09
OP581743.1	Gambia	Africa	PARTIAL	29782	A	2020-09-16
OP581504.1	Gambia	Africa	PARTIAL	29776	A	2021-01-18
OP001511.1	Kenya	Africa	PARTIAL	29782	A	2020-12-27
OM739099.1	South Africa	Africa	COMPLETE	29822	A	2020-05-09
OM731984.1	Gabon	Africa	PARTIAL	29460	A	2020-04-20
OM731936.1	Gabon	Africa	PARTIAL	29450	A	2020-03-14
OL914956.1	Kenya	Africa	PARTIAL	29782	A	2020-05-20
OL914952.1	Kenya	Africa	PARTIAL	29323	A	2020-05-17
OL840814.1	Ethiopia: Addis Ababa	Africa	COMPLETE	29817	A	2021-02-01
OL601931.1	Mali: Bamako	Africa	COMPLETE	29777	A	2021-01-29
OL601649.1	Nigeria: Oyo	Africa	PARTIAL	29774	A	2021-01-16
OL601648.1	Nigeria: Oyo	Africa	PARTIAL	29778	A	2021-01-16
OL601556.1	Nigeria: Oyo	Africa	PARTIAL	29774	A	2021-01-08
OL549088.1	Kenya	Africa	PARTIAL	29779	A	2021-02-23
OL548968.1	Kenya	Africa	PARTIAL	29611	A	2021-01-17
OL548937.1	Kenya	Africa	PARTIAL	29782	A	2020-12-25
OK449076.1	Kenya	Africa	PARTIAL	29782	A	2020-06-08
OK449075.1	Kenya	Africa	PARTIAL	29737	A	2020-06-08
MZ287356.1	Uganda	Africa	PARTIAL	29858	A	2020-11-14
MZ054877.1	Libya	Africa	PARTIAL	29806	A	2021-02-25
MW931688.1	Kenya	Africa	PARTIAL	29782	A	2020-05-12
MW931687.1	Kenya	Africa	PARTIAL	29494	A	2020-05-12
MW751403.1	Kenya	Africa	PARTIAL	29782	A	2020-06-13
MW751399.1	Kenya	Africa	PARTIAL	29782	A	2020-06-27
MW751362.1	Kenya	Africa	PARTIAL	29782	A	2020-06-03
MW751337.1	Kenya	Africa	PARTIAL	29494	A	2020-05-15
MW751336.1	Kenya	Africa	PARTIAL	29494	A	2020-05-15
MW751334.1	Kenya	Africa	PARTIAL	29782	A	2020-05-14
MW751319.1	Kenya	Africa	PARTIAL	29494	A	2020-05-12
MW751318.1	Kenya	Africa	PARTIAL	29323	A	2020-05-12
MW751311.1	Kenya	Africa	PARTIAL	29494	A	2020-05-15
MW751308.1	Kenya	Africa	PARTIAL	29782	A	2020-05-14
MW751307.1	Kenya	Africa	PARTIAL	29494	A	2020-05-14
MW751305.1	Kenya	Africa	PARTIAL	29782	A	2020-05-14
MW751292.1	Kenya	Africa	PARTIAL	29323	A	2020-05-13
MW751291.1	Kenya	Africa	PARTIAL	29494	A	2020-05-13
MW751289.1	Kenya	Africa	PARTIAL	29494	A	2020-05-13
MW751146.1	Kenya	Africa	COMPLETE	29782	A	2020-04-10
MW751133.1	Kenya	Africa	COMPLETE	29782	A	2020-04-04
MW751131.1	Kenya	Africa	PARTIAL	29782	A	2020-04-04
MW548228.1	Egypt	Africa	COMPLETE	29793	A	2021-01-03
MW523409.1	Ghana	Africa	COMPLETE	29782	A	2020-07-21
MW504778.1	Egypt	Africa	COMPLETE	29793	A	2020-12-25
MW504605.1	Egypt	Africa	COMPLETE	29793	A	2020-12-25
MW474741.1	Mali	Africa	COMPLETE	29882	A	2020-03-31
MW467478.1	Egypt	Africa	COMPLETE	29903	A	2020-07-28
MW018437.1	Libya	Africa	COMPLETE	29894	A	2020-06
MW018436.1	Libya	Africa	COMPLETE	29901	A	2020-06
MW018435.1	Libya	Africa	COMPLETE	29899	A	2020-06
MW018434.1	Libya	Africa	COMPLETE	29897	A	2020-06
MW018432.1	Libya	Africa	COMPLETE	29903	A	2020-06
MW018431.1	Libya	Africa	COMPLETE	29900	A	2020-06
MW018430.1	Libya	Africa	COMPLETE	29884	A	2020-06
MW018429.1	Libya	Africa	COMPLETE	29903	A	2020-06
MW018428.1	Libya	Africa	COMPLETE	29803	A	2020-06
MT955171.1	Tunisia	Africa	COMPLETE	29900	A	2020-07-07
MT890243.1	Ghana	Africa	COMPLETE	29863	A	2020-05-24
